Famiglia,Corso,Lezione,PDF,AVI,JNT,CAMREC,CAMPROJ,Note
AL,AL_14,1,SI,SI,SI,?,--,
AL,AL_14,2,SI,SI,SI,?,--,
AL,AL_14,3,SI,SI,SI,?,--,
AL,AL_14,4,SI,SI,SI,?,--,
AL,AL_14,5,SI,SI,SI,?,--,
AL,AL_14,6,SI,SI,SI,?,--,
AL,AL_14,7,SI,SI,SI,?,--,
AL,AL_14,8,SI,SI,SI,?,--,
AL,AL_14,9,SI,SI,SI,?,--,
AL,AL_14,10,SI,SI,SI,?,--,
AL,AL_14,11,SI,SI,SI,?,--,
AL,AL_14,12,SI,SI,SI,?,--,
AL,AL_14,13,SI,SI,SI,?,--,
AL,AL_14,14,SI,SI,SI,?,--,
AL,AL_14,15,SI,SI,SI,?,--,
AL,AL_14,16,SI,SI,SI,?,--,
AL,AL_14,17,SI,SI,SI,?,--,
AL,AL_14,18,SI,SI,SI,?,--,
AL,AL_14,19,SI,SI,SI,?,--,
AL,AL_14,20,SI,SI,SI,?,--,
AL,AL_14,21,SI,SI,?,?,--,
AL,AL_14,22,SI,SI,SI,?,--,
AL,AL_14,23,SI,SI,SI,?,--,
AL,AL_14,24,SI,SI,SI,?,--,
AL,AL_14,25,SI,SI,SI,?,--,
AL,AL_14,26,SI,SI,SI,?,--,
AL,AL_14,27,SI,SI,SI,?,--,
AL,AL_14,28,SI,SI,SI,?,--,
AL,AL_14,29,SI,SI,SI,?,--,
AL,AL_14,30,SI,SI,SI,?,--,
AL,AL_14,31,SI,SI,SI,?,--,
AL,AL_14,32,SI,SI,SI,?,--,
AL,AL_14,33,SI,SI,SI,?,--,
AL,AL_14,34,SI,SI,SI,?,--,
AL,AL_14,35,SI,SI,SI,?,--,
AL,AL_14,36,SI,SI,SI,?,--,
AL,AL_14,37,SI,SI,SI,?,--,
AL,AL_14,38,SI,SI,SI,?,--,
AL,AL_14,39,SI,SI,SI,?,--,
AL,AL_14,40,SI,SI,SI,?,--,
AL,AL_14,41,SI,SI,SI,?,--,
AL,AL_14,42,SI,SI,SI,?,--,
AL,AL_14,43,SI,SI,SI,?,--,
AL,AL_14,44,SI,SI,SI,?,--,
AL,AL_14,45,SI,SI,SI,?,--,
AL,AL_14,46,SI,SI,SI,?,--,
AL,AL_14,47,SI,SI,SI,?,--,
AL,AL_14,48,SI,SI,SI,?,--,
AL,AL_14,49,SI,SI,SI,?,--,
AL,AL_14,50,SI,SI,SI,?,--,
AL,AL_14,51,SI,SI,SI,?,--,
AL,AL_14,52,SI,SI,SI,?,--,
AL,AL_14,53,SI,SI,SI,?,--,
AL,AL_14,54,SI,SI,SI,?,--,
AL,AL_14,55,SI,SI,SI,?,--,
AL,AL_14,56,SI,SI,SI,?,--,
AL,AL_14,57,SI,SI,SI,?,--,
AL,AL_14,58,SI,SI,SI,?,--,
AL,AL_14,59,SI,SI,SI,?,--,
AL,AL_15,1,SI,SI,SI,?,--,
AL,AL_15,2,SI,SI,SI,?,--,
AL,AL_15,3,SI,SI,SI,?,--,
AL,AL_15,4,SI,SI,SI,?,--,
AL,AL_15,5,SI,SI,SI,?,--,
AL,AL_15,6,SI,SI,SI,?,--,
AL,AL_15,7,SI,SI,SI,?,--,
AL,AL_15,8,SI,SI,SI,?,--,
AL,AL_15,9,SI,SI,SI,?,--,
AL,AL_15,10,SI,SI,SI,?,--,
AL,AL_15,11,SI,SI,SI,?,--,
AL,AL_15,12,SI,SI,SI,?,--,
AL,AL_15,13,SI,SI,SI,?,--,
AL,AL_15,14,SI,SI,SI,?,--,
AL,AL_15,15,SI,SI,SI,?,--,
AL,AL_15,16,SI,SI,SI,?,--,
AL,AL_15,17,SI,SI,SI,?,--,
AL,AL_15,18,SI,SI,SI,?,--,
AL,AL_15,19,SI,SI,SI,?,--,
AL,AL_15,20,SI,SI,SI,?,--,
AL,AL_15,21,SI,SI,SI,?,--,
AL,AL_15,22,SI,SI,SI,?,--,
AL,AL_15,23,SI,SI,SI,?,--,
AL,AL_15,24,SI,SI,SI,?,--,
AL,AL_15,25,SI,SI,SI,?,--,
AL,AL_15,26,SI,SI,SI,?,--,
AL,AL_15,27,SI,SI,SI,?,--,
AL,AL_15,28,SI,SI,SI,?,--,
AL,AL_15,29,SI,SI,SI,?,--,
AL,AL_15,30,SI,SI,SI,?,--,
AL,AL_15,31,SI,SI,SI,?,--,
AL,AL_15,32,SI,SI,SI,?,--,
AL,AL_15,33,SI,SI,SI,?,--,
AL,AL_15,34,SI,SI,SI,?,--,
AL,AL_15,35,SI,SI,SI,?,--,
AL,AL_15,36,SI,SI,SI,?,--,
AL,AL_15,37,SI,SI,SI,?,--,
AL,AL_15,38,SI,SI,SI,?,--,
AL,AL_15,39,SI,SI,SI,?,--,
AL,AL_15,40,SI,SI,SI,?,--,
AL,AL_15,41,SI,SI,SI,?,--,
AL,AL_15,42,SI,SI,SI,?,--,
AL,AL_15,43,SI,SI,SI,?,--,
AL,AL_15,44,SI,SI,SI,?,--,
AL,AL_15,45,SI,SI,SI,?,--,
AL,AL_15,46,SI,SI,SI,?,--,
AL,AL_15,47,SI,SI,SI,?,--,
AL,AL_15,48,SI,SI,SI,?,--,
AL,AL_15,49,SI,SI,SI,?,--,
AL,AL_15,50,SI,SI,SI,?,--,
AL,AL_15,51,SI,SI,SI,?,--,
AL,AL_15,52,SI,SI,SI,?,--,
AL,AL_15,53,SI,SI,SI,?,--,
AL,AL_15,54,SI,SI,SI,?,--,
AL,AL_15,55,SI,SI,SI,?,--,
AL,AL_15,56,SI,SI,SI,?,--,
AL,AL_15,57,SI,SI,SI,?,--,
AL,AL_15,58,SI,SI,SI,?,--,
AL,AL_15,59,SI,SI,SI,?,--,
AL,AL_15,60,SI,SI,SI,?,--,
AL,AL_19,1,SI,SI,SI,SI,--,
AL,AL_19,2,SI,SI,SI,SI,--,
AL,AL_19,3,SI,SI,SI,SI,--,
AL,AL_19,4,SI,SI,SI,SI,--,
AL,AL_19,5,SI,SI,SI,SI,--,
AL,AL_19,6,SI,SI,SI,SI,--,
AL,AL_19,7,SI,SI,SI,SI,--,
AL,AL_19,8,SI,SI,SI,SI,--,
AL,AL_19,9,SI,SI,SI,SI,--,
AL,AL_19,10,SI,SI,SI,SI,--,
AL,AL_19,11,SI,SI,SI,SI,--,
AL,AL_19,12,SI,SI,SI,SI,--,
AL,AL_19,13,SI,SI,SI,SI,--,
AL,AL_19,14,SI,SI,SI,SI,--,
AL,AL_19,15,SI,SI,SI,SI,--,
AL,AL_19,16,SI,SI,SI,SI,--,
AL,AL_19,17,SI,SI,SI,SI,--,
AL,AL_19,18,SI,SI,SI,SI,--,
AL,AL_19,19,SI,SI,SI,SI,--,
AL,AL_19,20,SI,SI,SI,SI,--,
AL,AL_19,21,SI,SI,SI,SI,--,
AL,AL_19,22,SI,SI,SI,SI,--,
AL,AL_19,23,SI,SI,SI,SI,--,
AL,AL_19,24,SI,SI,SI,SI,--,
AL,AL_19,25,SI,SI,SI,SI,--,
AL,AL_19,26,SI,SI,SI,SI,--,
AL,AL_19,27,SI,SI,SI,SI,--,
AL,AL_19,28,SI,SI,SI,SI,--,
AL,AL_19,29,SI,SI,SI,SI,--,
AL,AL_19,30,SI,SI,SI,SI,--,
AL,AL_19,31,SI,SI,SI,SI,--,
AL,AL_19,32,SI,SI,SI,SI,--,
AL,AL_19,33,SI,SI,SI,SI,--,
AL,AL_19,34,SI,SI,SI,SI,--,
AL,AL_19,35,SI,SI,SI,SI,--,
AL,AL_19,36,SI,SI,SI,SI,--,
AL,AL_19,37,SI,SI,SI,SI,--,
AL,AL_19,38,SI,SI,SI,SI,--,
AL,AL_19,39,SI,SI,SI,SI,--,
AL,AL_19,40,SI,SI,SI,SI,--,
AL,AL_19,41,SI,SI,SI,SI,--,
AL,AL_19,42,SI,SI,SI,SI,--,
AL,AL_19,43,SI,SI,SI,SI,--,
AL,AL_19,44,SI,SI,SI,SI,--,
AL,AL_19,45,SI,SI,SI,SI,--,
AL,AL_19,46,SI,SI,SI,SI,--,
AL,AL_19,47,SI,SI,SI,SI,--,
AL,AL_19,48,SI,SI,SI,SI,--,
AL,AL_19,49,SI,SI,SI,SI,--,
AL,AL_19,50,SI,SI,SI,SI,--,
AL,AL_19,51,SI,SI,SI,SI,--,
AL,AL_19,52,SI,SI,SI,SI,--,
AL,AL_19,53,SI,SI,SI,SI,--,
