file,link,goto,dest,stream_decompressi,indice_cliccabile,errore
AL_15_Book.pdf,60,122,1,581,si,
AL_19_Book.pdf,60,122,1,691,si,
AL_22_Book.pdf,60,122,1,597,si,
AL_23_Book.pdf,60,122,1,607,si,
AL_24_Book.pdf,59,120,1,577,si,
ALAM2_14_Book.pdf,59,120,1,476,si,
ALAM2_14_Bookbis.pdf,0,0,0,474,no,
AM12_Book1.pdf,0,0,0,441,no,
AM12_Book2.pdf,0,0,0,447,no,
AM13_Book1.pdf,0,0,0,466,no,
AM13_Book2.pdf,0,0,0,412,no,
AM1_15_Book1.pdf,0,0,0,479,no,
AM1_15_Book2.pdf,0,0,0,391,no,
AM1_15_Book3.pdf,0,0,0,420,no,
AM1_17_Book1.pdf,54,110,1,544,si,
AM1_17_Book2.pdf,39,80,1,416,si,
AM1_17_Book3.pdf,42,86,1,457,si,
AM1_25_Book1.pdf,65,132,1,604,si,
AM1_25_Book2.pdf,55,112,1,541,si,
AM1_26_Book1.pdf,50,102,1,479,si,
AM1_26_Book2.pdf,40,82,1,382,si,
AM1_26_Book3.pdf,40,82,1,380,si,
AM2_14_Book.pdf,60,122,1,513,si,
AM2_16_Book1.pdf,47,96,1,442,si,
AM2_16_Book2.pdf,39,80,1,411,si,
AM2_16_Book3.pdf,44,90,1,440,si,
AM2_16_BookTM.pdf,8,18,1,92,si,
AM2_18_Book1.pdf,48,98,1,536,si,
AM2_18_Book2.pdf,37,76,1,429,si,
AM2_18_Book3.pdf,44,90,1,517,si,
AM2_20_Book.pdf,60,122,1,608,si,
AM2_21_Book.pdf,60,122,1,473885,si,
AM2_23_Book.pdf,58,118,1,537,si,
AM2_24_Book.pdf,56,114,1,1080,si,
CdV_16_Book.pdf,48,98,1,464,si,
CdV_17_Book.pdf,48,98,1,517,si,
CdV_18_Book.pdf,48,98,1,591,si,
Freiberg_17_Book.pdf,8,18,1,88,si,
IstAM_19_Book1.pdf,24,50,1,287,si,
IstAM_19_Book2.pdf,22,46,1,255,si,
IstAM_19_Book3.pdf,24,50,1,285,si,
IstAM_20_Book1.pdf,24,50,1,291,si,
IstAM_20_Book2.pdf,22,46,1,265,si,
IstAM_20_Book3.pdf,24,50,1,302,si,
IstAM_21_Book1.pdf,32,66,1,377,si,
IstAM_21_Book2.pdf,26,54,1,314,si,
IstAM_21_Book3.pdf,12,26,1,149,si,
IstAM_22_Book1.pdf,24,50,1,255,si,
IstAM_22_Book2.pdf,22,46,1,242,si,
IstAM_22_Book3.pdf,24,50,1,277,si,
PCM_08_Book.pdf,0,0,0,241,no,
PCM_25_Book.pdf,20,42,1,184,si,
SA10_Book.pdf,0,0,0,230,no,
SA11_Book.pdf,0,0,0,211,no,
SA12_Book.pdf,0,0,0,255,no,
SA13_Book.pdf,0,0,0,269,no,
SA14_Book.pdf,0,0,0,287,no,
SA15_Book.pdf,0,0,0,339,no,
AM09_Book1.pdf,,,,,si,
AM09_Book2.pdf,,,,,si,
AM10_Book1.pdf,,,,,si,
AM10_Book2.pdf,,,,,si,
AM11_Book1.pdf,,,,,si,
AM11_Book2.pdf,,,,,si,
T07_Book1.pdf,,,,,si,
T07_Book2.pdf,,,,,si,
T08_Book1.pdf,,,,,si,
T08_Book2.pdf,,,,,si,
C07_Book.pdf,,,,,si,
PCM_07_Book.pdf,,,,,si,
PCM_09_Book.pdf,,,,,si,
